stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,piloting,instructions.started,instruction.started,instructions.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,thank_you_.started,thanks.started,thanks.stopped,thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,FALSE,0.0083024,0.0264141,10.0100709,,,,,,,,,,,,,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
0,2,10,10.0268909,,,,,,10.0106502,10.0268909,10.5098818,10.5098818,10.5250898,10.8087907,11.3932464,left,-10,1,1,0.8674316,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
1,2,8,11.4092525,,,,,,11.3935868,11.4092525,11.8920029,11.8920029,11.909278,12.1935711,12.3104705,left,-8,1,1,0.404365,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
2,2,6,12.3256428,,,,,,12.3108726,12.3256428,12.8245737,12.8245737,12.8245737,13.1264078,13.4097942,right,6,1,1,0.576649,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
3,2,4,13.4253952,,,,,,13.4100942,13.4253952,13.9247491,13.9247491,13.9247491,14.2252801,14.2430269,left,-4,1,1,0.3133694,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
4,1,2,14.2598541,,,,,,14.2434249,14.2598541,14.7443736,14.7443736,14.7605271,15.0429008,15.126451,left,-2,0,0,0.3654473,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
5,1,3,15.1428161,,,,,,15.1267493,15.1428161,15.6413212,15.6413212,15.659237,15.9413235,16.1762336,right,3,1,1,0.5268525,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
6,1,3,16.1917883,,,,,,16.1766623,16.1917883,16.6923152,16.6923152,16.6923152,16.9913942,17.0593149,right,3,0,0,0.3502695,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
7,1,4,17.0768078,,,,,,17.0595292,17.0768078,17.5589859,17.5589859,17.5923069,17.858506,18.0757586,left,-4,1,1,0.5049644,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
8,1,4,18.0920882,,,,,,18.0760134,18.0920882,18.5752753,18.5752753,18.5921037,18.8748912,18.9427035,right,4,1,1,0.3594058,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
9,1,4,18.9590269,,,,,,18.9430184,18.9590269,19.4584177,19.4584177,19.4757927,19.7586319,19.7931307,left,-4,1,1,0.3242458,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
10,1,3,19.8093247,,,,,,19.7936792,19.8093247,20.3091693,20.3091693,20.325013,20.6241944,20.6080716,right,3,1,1,0.2866468,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
11,1,3,20.6241944,,,,,,20.6083556,20.6241944,21.1084842,21.1084842,21.1253299,21.4086246,21.4261404,left,-3,1,1,0.3056613,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
12,0.5,3,21.4424135,,,,,,21.4264263,21.4424135,21.9428967,21.9428967,21.9428967,22.242641,22.2599879,left,-3,0,0,0.3009112,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
13,0.5,3.5,22.2755691,,,,,,22.2604516,22.2755691,22.7747865,22.7747865,22.7747865,23.0739292,23.3764295,right,3.5,1,1,0.5941936,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
14,0.5,3.5,23.3918758,,,,,,23.3767211,23.3918758,23.8924164,23.8924164,23.8924164,24.1923674,24.2432496,right,3.5,0,0,0.3335022,,,,,Participant001,1,2026-09-11_17h54.08.534,Adaptive Staircase,,2026.2.3,59.54277106,2026-09-11 17h54.08.767112 +0530
